N1,N2,D,C_real1,C_real2
1.0,2.0,0.0,566.2083706021505,570.4989372520982
1.0,2.0,0.0,569.2108297288618,577.3708860787452
1.0,2.0,0.0,573.0930177481445,584.3907244865748
1.0,2.0,0.0,576.6125789642109,591.5945489543683
1.0,2.0,0.0,580.4549276080456,597.322499727245
1.0,2.0,0.0,583.2649181156004,603.9300689876144
1.0,2.0,0.0,585.7473657700388,612.0639024532042
1.0,2.0,0.0,586.8220848012135,617.5608878651424
1.0,2.0,0.0,588.0214173893785,624.5518313826643
1.0,2.0,0.0,588.314295733591,631.2801111158868
1.0,2.0,0.0,589.2033949357752,636.667144656996
1.0,2.0,0.0,590.9962137303049,643.4976876079717
1.0,2.0,0.0,592.5049085223384,649.3531258992358
1.0,2.0,0.0,594.5755475145398,655.3400366263937
1.0,2.0,0.0,593.9804537012703,661.0797747054316
1.0,2.0,0.0,596.1557780528932,668.2612904730698
1.0,2.0,0.0,600.259846263977,674.904286860053
1.0,2.0,0.0,602.335115407169,679.8158844454022
1.0,2.0,0.0,604.3892195276286,686.3974656002323
1.0,2.0,0.0,607.5881081544795,691.2209102739313
1.0,2.0,0.0,609.7107757605954,697.6681174530096
1.0,2.0,0.0,613.4260137507043,703.458598219608
1.0,2.0,0.0,614.6832098609406,708.2170295566387
1.0,2.0,0.0,616.1056145181177,712.9417603755395
1.0,2.0,0.0,618.6906629846955,719.3168428562913
1.0,2.0,0.0,621.1352604883964,725.7191758303362
1.0,2.0,0.0,622.3645676266876,731.2136186676468
1.0,2.0,0.0,623.6445447857078,736.2889642268341
1.0,2.0,0.0,626.5149750008106,741.2147818071925
1.0,2.0,0.0,626.2525592779506,745.8436293926609
1.0,2.0,0.0,627.1460406841642,749.1469382409084
1.0,2.0,0.0,627.9486063856139,754.8702369696971
1.0,2.0,0.0,631.2104148603655,759.0580504517549
1.0,2.0,0.0,633.7449223218589,764.8502739488154
1.0,2.0,0.0,634.0790873245113,769.3380260294844
1.0,2.0,0.0,635.5235761027087,773.9702060589348
1.0,2.0,0.0,635.3971100974162,778.0113722822952
1.0,2.0,0.0,637.9241172672795,783.603262282972
1.0,2.0,0.0,641.1867632684339,787.5115586240652
1.0,2.0,0.0,644.4386157004994,792.3646440315987
1.0,2.0,0.0,644.4129832232961,797.2406357271502
1.0,2.0,0.0,645.3946612683483,801.8009496277131
1.0,2.0,0.0,646.6113738130647,806.9820176178766
1.0,2.0,0.0,648.1689237359324,810.5946219648633
1.0,2.0,0.0,650.41151807403,814.6917619861149
1.0,2.0,0.0,651.2425531823808,819.7484956381351
1.0,2.0,0.0,652.0657381481368,822.8149648345595
1.0,2.0,0.0,652.7453482131092,825.007097524716
1.0,2.0,0.0,653.4011330821842,830.4926964921337
1.0,2.0,0.0,653.692009242274,834.0435478569301
1.0,2.0,0.0,653.7786261056399,836.9213611357617
1.0,2.0,0.0,656.49082201574,841.2637133118847
1.0,2.0,0.0,657.0333941081532,844.6507929553987
1.0,2.0,0.0,657.3520768520322,847.1966380914109
1.0,2.0,0.0,657.5771633457744,849.5913588985783
1.0,2.0,0.0,659.0396471829015,853.4440896676565
1.0,2.0,0.0,660.6424893722369,856.4727970613358
1.0,2.0,0.0,660.375002661604,859.5583988034689
1.0,2.0,0.0,660.5452830632382,863.5461247705402
1.0,2.0,0.0,662.1937497627509,867.3396214288485
1.0,2.0,0.0,662.9126803457085,868.5183027880155
1.0,2.0,0.0,664.9270921397308,872.7166439755161
1.0,2.0,0.0,664.4700769387408,875.7636025705634
1.0,2.0,0.0,666.6964896573471,877.5512136888657
1.0,2.0,0.0,669.4639359430809,880.0387021722879
1.0,2.0,0.0,669.3467973683488,884.2095691058671
1.0,2.0,0.0,670.6013424071054,886.293072544938
1.0,2.0,0.0,672.4223259156204,887.0426936366641
1.0,2.0,0.0,675.1515120240805,888.920588551396
1.0,2.0,0.0,676.3104373858655,891.1879497837931
1.0,2.0,0.0,677.6022278173485,894.7078413823441
1.0,2.0,0.0,677.6145254007268,898.073369573879
1.0,2.0,0.0,678.1564947308709,899.9141890615925
1.0,2.0,0.0,678.7603254603961,901.4106458625862
1.0,2.0,0.0,678.7834756556783,904.838397364183
1.0,2.0,0.0,679.4511265333882,908.4071284467091
1.0,2.0,0.0,680.6913455857177,909.754824267654
1.0,2.0,0.0,679.5833330377945,911.4210310220719
1.0,2.0,0.0,680.653941369302,913.758296638956
1.0,2.0,0.0,680.6142697325047,917.0645013852728
1.0,2.0,0.0,679.6595686324442,918.0496508270761
1.0,2.0,0.0,680.592208595386,922.4724308272857
1.0,2.0,0.0,681.7975014748934,923.6298628250069
1.0,2.0,0.0,683.1634379251253,926.4585696245263
1.0,2.0,0.0,684.8540865789113,928.1515832511495
1.0,2.0,0.0,684.7817921384478,930.3472834842365
1.0,2.0,0.0,685.9255857009472,933.9900639143597
1.0,2.0,0.0,688.7265988547732,935.2468949573977
1.0,2.0,0.0,688.8729747652487,937.1543719321501
1.0,2.0,0.0,689.2903563185727,939.5825982489409
1.0,2.0,0.0,690.4369884711307,941.7465059667902
1.0,2.0,0.0,692.424756244612,943.4615461433511
1.0,2.0,0.0,691.9878279985763,943.7487706873336
1.0,2.0,0.0,691.5801224648887,944.5480294449171
1.0,2.0,0.0,690.3232497650723,947.0427438051754
1.0,2.0,0.0,691.1539255733686,948.414053201161
1.0,2.0,0.0,690.8969849708483,948.6066397667033
1.0,2.0,0.0,690.6140683091674,952.2251915171665
1.0,2.0,0.0,689.0443272560744,954.0833625506693
1.0,2.0,0.0,690.4525643570188,955.9079793030916
1.0,2.0,0.0,690.7792364262647,958.3371681014794
1.0,2.0,0.0,690.3144871779223,960.5173880173945
1.0,2.0,0.0,692.3907374448632,961.0679826077317
1.0,2.0,0.0,692.1853116540076,962.7876345666032
1.0,2.0,0.0,693.792375377332,965.6846977425338
1.0,2.0,0.0,695.0663885925122,966.5296526102022
1.0,2.0,0.0,694.5262515148208,968.2744149338258
1.0,2.0,0.0,695.5068891171786,968.6494726504604
0.0,2.0,0.0,691.1343494083781,970.451694883475
0.0,2.0,0.0,687.8126774778301,970.9040774392715
0.0,2.0,0.0,684.0527349353214,971.1709573890945
0.0,2.0,0.0,679.3656450500965,972.5248291614789
0.0,2.0,0.0,676.6933697914269,977.2509678040907
0.0,2.0,0.0,672.7968154774578,979.0871942257605
0.0,2.0,0.0,669.712711150385,979.03892379885
0.0,2.0,0.0,666.4329932110726,979.1112907552857
0.0,2.0,0.0,664.0659229645075,981.8678004805907
0.0,2.0,0.0,660.6067916051909,982.3327671573189
