Temperature,Pressure,Humidity,CO2 (ppm),DUST TSP,DUST PM2.5,DUST PM10,door,window,occupancy
23.63,746.8835,17.17,446,4,4,4,1,0,0
23.63,746.89856,17.16,446,5,4,5,1,0,0
23.63,746.876,17.15,446,5,5,5,1,0,0
23.63,746.9135,17.22,448,5,4,5,1,0,0
23.64,746.93604,17.18,447,6,5,6,1,0,0
23.64,746.981,17.2,446,4,4,4,1,0,0
23.64,746.996,17.2,448,5,4,5,1,0,0
23.63,746.9885,17.21,450,4,4,4,1,0,0
23.63,746.966,17.23,451,5,4,5,1,0,0
23.63,746.89856,17.2,448,4,4,4,1,0,0
23.63,746.86847,17.24,448,5,4,5,1,0,0
23.63,746.876,17.26,449,5,4,5,1,0,0
23.63,746.8835,17.26,450,5,5,5,1,0,0
23.63,746.876,17.28,448,4,4,4,1,0,0
23.63,746.876,17.26,450,4,4,4,1,0,0
23.64,746.85345,17.27,449,6,5,6,1,0,0
23.64,746.8385,17.29,450,5,4,5,1,0,0
23.65,746.816,17.28,451,5,4,5,1,0,0
23.65,746.8235,17.3,451,4,4,4,1,0,0
23.65,746.816,17.31,450,6,6,6,1,0,0
23.65,746.8085,17.31,451,5,4,5,1,0,0
23.66,746.7935,17.34,452,5,4,5,1,0,0
23.66,746.8085,17.35,452,5,4,5,1,0,0
23.67,746.8235,17.33,452,4,4,4,1,0,0
23.67,746.831,17.35,453,5,4,5,1,0,0
23.67,746.8235,17.34,453,5,5,5,1,0,0
23.67,746.8385,17.33,454,5,4,5,1,0,0
23.66,746.86096,17.36,454,5,5,5,1,0,0
23.67,746.86096,17.38,454,5,5,5,1,0,0
23.67,746.86847,17.41,456,6,5,6,1,0,0
23.67,746.876,17.42,455,5,5,5,1,0,0
23.67,746.8385,17.42,456,4,4,4,1,0,0
23.67,746.816,17.41,457,5,4,5,1,0,0
23.67,746.816,17.41,457,4,4,4,1,0,0
23.68,746.7935,17.42,457,5,5,5,1,0,0
23.67,746.8235,17.44,457,5,4,5,1,0,0
23.68,746.831,17.44,457,5,4,5,1,0,0
23.68,746.816,17.44,457,4,4,4,1,0,0
23.68,746.8085,17.46,458,5,4,5,1,0,0
23.68,746.86096,17.45,459,6,5,6,1,0,0
23.68,746.89856,17.48,459,5,4,5,1,0,0
23.68,746.9285,17.44,460,4,4,4,1,0,0
23.68,746.94354,17.42,459,5,4,5,1,0,0
23.68,746.966,17.46,460,4,4,4,1,0,0
23.68,747.0035,17.46,461,5,5,5,1,0,0
23.68,747.0335,17.49,461,5,5,5,1,0,0
23.68,747.0485,17.48,461,5,4,5,1,0,0
23.68,747.06354,17.48,461,4,4,4,1,0,0
23.68,747.08606,17.5,461,4,3,4,1,0,0
23.69,747.08606,17.49,461,4,4,4,1,0,0
23.69,747.101,17.51,462,4,4,4,1,0,0
23.69,747.101,17.51,462,4,4,4,1,0,0
23.69,747.1085,17.51,462,4,4,4,1,0,0
23.7,747.101,17.48,464,5,4,5,1,0,0
23.7,747.1085,17.54,463,4,4,4,1,0,0
23.7,747.101,17.55,465,6,4,6,1,0,0
23.71,747.0935,17.54,462,5,4,5,1,0,0
