Temperature,Pressure,Humidity,PM2.5,PM10,CO2,Door,occupancy
25.3,738,22,0,0,421.33,1,0
25.3,738,22,0,0,422,1,0
25.3,738,22,0,0,421.33,1,0
25.3,738,22,0,0,421,1,0
25.4,738,22,0,0,422,1,0
25.3,738,22,0,0,421,1,0
25.4,738,22,0,0,422,1,0
25.4,738,22,0,0,422.5,1,0
25.4,738,22,0,0,422,1,0
25.4,738,22,0,0,420.5,1,0
25.4,738,22,0,0,420,1,0
25.4,738,22,0,0,421,1,0
25.4,738,22,0,0,421.33,1,0
25.4,738,22,0,0,420.5,1,0
25.4,738,22,1,1,419.67,1,0
25.4,738,22,0,0,419.5,1,0
25.4,738,22,0,0,420,1,0
25.4,738,22,0,0,420,1,0
25.4,738,22,0,0,421,1,0
25.4,738,22,0,0,419.5,1,0
25.4,738,22,0,0,419.67,1,0
25.4,738,22,0,0,421,1,0
25.4,738,22,0,0,422,1,0
25.5,738,22,1,1,422,1,0
25.5,738,22,0,0,422,1,0
25.5,738,22,1,1,421.67,1,0
25.4,738,22,0,0,421.5,1,0
25.5,738,22,0,0,423.67,1,0
25.5,738,22,0,0,425.5,1,0
25.4,738,22,1,1,429,1,0
25.4,738,22,0,0,426.5,1,0
25.5,738,22,0,1,428.33,1,0
25.5,738,22,0,2,431,1,0
25.5,738,22,1,1,431.33,1,0
25.5,738,22,0,0,432,1,0
25.5,738,22,1,1,432,1,0
25.5,738,22,1,1,430,1,0
25.5,738,22,0,0,432.33,1,0
25.5,738,22,0,0,432,1,0
25.5,738,22,0,0,431.67,1,0
25.5,738,22,0,0,430.5,1,0
25.5,738,22,0,0,433,1,0
25.4,738,22,0,0,435.5,1,0
25.1,738,22,1,1,433.67,1,0
24.9,738,23,1,1,435,1,0
24.7,738,23,1,1,434.33,1,0
24.6,738,23,0,1,437,1,0
24.4,738,23,1,1,438,1,0
24.3,738,23,1,2,438.5,1,0
24.2,738,23,1,1,440.33,1,0
24.1,738,23,1,1,440.5,1,0
24,738,23,1,1,441.33,1,0
23.9,738,23,1,1,443.5,1,0
23.9,738,24,1,1,441.33,1,0
23.9,738,24,0,1,440,1,0
23.9,738,24,1,1,441,1,0
23.8,738,24,0,0,439,1,0
23.7,738,24,1,1,441,1,0
23.7,738,24,1,1,441,1,0
23.6,738,24,2,2,437.5,1,0
23.5,738,23,4,4,435.33,1,0
22.9,738,23,2,2,434.5,1,0
23.3,738,24,2,3,433,1,0
23.3,738,23,3,3,433,1,0
23.2,738,24,2,3,433,1,0
23.2,738,24,4,4,433.5,1,0
23.3,738,24,3,3,434.33,1,0
23.1,738,24,3,3,435.5,1,0
23.1,738,24,2,3,435.67,1,0
23,738,24,2,3,436,1,0
23,738,24,3,3,435.67,1,0
23,738,24,4,4,435.5,1,0
23,738,24,3,3,438,1,0
23,738,24,3,4,441.5,1,0
22.9,738,23,4,4,452,1,0
22.9,738,23,4,4,459.5,1,0
23,738,23,4,4,466.33,1,0
22.6,738,23,4,5,477.5,1,0
23.1,738,22,4,5,480.33,1,0
23.2,738,22,6,6,484.5,1,0
23.1,738,22,6,6,484,1,0
23.1,738,21,6,6,485,1,0
23,738,22,6,7,487.67,1,0
23,738,21,6,8,493.5,1,0
23,738,21,7,8,503.67,1,0
23,738,22,6,6,525,1,0
22.9,738,22,7,7,526.33,1,1
22.8,738,21,8,8,523,1,1
22.8,738,22,8,8,524,1,1
22.8,738,22,8,8,529.5,1,1
22.7,738,21,8,9,533.67,1,1
22.7,738,21,8,9,531.5,1,1
22.7,738,21,8,8,543.67,1,0
22.6,738,21,9,9,521.67,1,0
22.6,738,21,8,8,523.5,1,0
22.6,738,21,9,10,507,1,0
22.5,738,20,9,10,499.33,1,0
22.5,738,20,9,10,495,1,0
22.5,738,20,9,10,492,1,0
22.5,738,20,10,10,485.5,1,0
22.4,738,21,9,9,495.33,1,0
22.4,738,21,9,10,500,1,0
22.4,738,21,9,10,509.33,1,0
22.3,738,21,9,10,520.5,1,0
22.3,738,21,10,11,521.33,1,0
22.4,738,20,10,10,507,0,3
22.4,738,21,9,10,513,0,3
22.6,738,21,7,8,541,0,3
22.8,738,21,6,6,569.33,1,0
23,738,21,6,6,580.5,1,0
23.2,738,21,7,7,565.33,1,0
23.3,738,21,6,7,542.5,1,0
23.4,738,20,7,7,529,1,0
23.5,738,20,8,8,519.5,1,1
23.5,738,20,6,6,528.33,1,0
23.6,738,20,7,8,526,1,0
23.6,738,20,7,7,523,1,0
23.7,738,20,6,7,519.5,1,0
23.7,738,20,7,8,525.33,1,0
23.8,738,20,7,8,531,1,0
23.8,738,20,7,7,534,1,0
23.8,738,20,7,7,537.5,1,0
23.9,738,20,6,7,543,1,0
23.9,737,20,6,6,539,1,0
24,737,19,6,7,535.33,1,0
24,737,19,6,6,536.5,1,0
24,737,19,6,6,540,1,0
24.1,737,19,6,6,540,1,0
24.1,737,19,6,6,543,1,0
24.1,737,19,6,6,539.67,0,2
24.2,737,19,4,4,535.5,1,0
24.2,737,19,5,5,556.33,1,0
24.2,737,19,6,6,562.5,1,0
24.2,737,19,6,6,557.67,1,0
24.3,737,19,6,6,558.5,1,0
24.3,737,19,4,5,559.33,1,0
24.4,737,19,6,6,558.5,1,0
24.4,737,19,6,6,553,1,0
24.4,737,19,6,6,545,1,0
24.4,737,19,6,6,542.33,1,2
24.4,737,19,6,7,544,0,3
24.5,737,20,13,14,610,0,3
24.3,737,21,9,10,654.5,0,3
24.6,737,21,7,7,662.33,0,3
24.5,737,21,6,6,674.5,0,3
24.4,737,21,6,6,686,0,3
24.3,737,21,7,7,697.5,0,3
24.2,737,22,6,7,698.67,0,3
24.2,737,22,8,9,698.5,0,3
24.2,737,22,7,8,698.33,0,3
24.2,737,22,7,8,699.5,0,3
24.1,737,22,46,47,686.33,1,0
24.1,737,22,10,12,665.5,1,0
24.1,737,21,10,11,632.67,1,0
24.2,737,21,10,11,600.5,1,0
24.3,737,21,11,12,586.67,1,0
24.3,737,21,11,12,580.5,1,0
24.4,737,21,11,12,581,1,0
24.4,737,21,10,10,579,1,0
24.4,737,21,8,9,579.67,1,0
24.4,738,21,8,9,583.5,1,0
24.4,738,21,7,7,583.67,1,0
24.4,738,21,7,8,577.5,1,0
24.5,738,21,6,6,568,1,0
24.5,738,21,6,7,566.33,1,0
24.5,738,21,6,6,564.5,1,0
24.5,738,21,6,6,565.33,1,0
24.5,738,21,6,6,564,1,0
24.5,738,22,7,7,562,1,0
24.5,738,22,6,6,557.5,1,0
24.5,738,22,9,9,554,1,0
24.5,738,22,8,10,551,1,0
24.5,738,22,10,10,542,1,0
24.6,738,22,10,10,529.5,1,0
24.6,738,22,9,10,525.33,1,0
24.6,738,22,10,10,514,1,0
24.6,738,21,8,8,505.67,1,0
24.6,738,22,8,8,500.5,1,0
24.6,738,22,8,8,495,1,0
24.6,738,22,8,8,486.5,1,0
24.6,738,22,8,9,479,1,0
24.6,738,22,8,8,471,1,0
24.6,738,22,8,8,467.67,1,0
24.6,738,22,8,9,460,1,0
24.6,738,22,8,8,458.33,1,0
24.6,738,23,8,8,455.5,1,0
24.6,738,23,8,8,455.33,1,0
24.6,738,23,6,7,454,1,0
24.6,738,23,6,8,454.67,1,0
24.6,738,23,6,6,450,1,0
24.6,738,23,5,5,450.67,1,0
24.6,738,23,5,6,448,1,0
24.7,738,23,5,5,445.67,1,0
24.7,738,23,4,4,443.5,1,0
24.7,738,23,5,5,438.67,1,0
24.7,738,23,4,5,440,1,0
24.7,738,23,4,4,437,1,0
24.7,738,23,4,4,433,1,0
24.7,738,24,4,4,434.5,1,0
24.7,738,24,3,3,431.67,1,0
24.8,738,24,4,4,430.5,1,0
24.8,738,24,3,3,429.33,1,0
24.8,737,24,3,4,428,1,0
24.8,737,24,3,3,426.67,1,0
24.8,737,24,4,4,426,1,0
24.8,737,24,3,3,424.33,1,0
24.8,737,24,4,4,424,1,0
24.8,738,24,3,3,426,1,0
24.8,738,24,3,3,424.5,1,0
24.8,738,24,3,3,422.67,1,0
24.8,738,24,2,2,423,1,0
24.8,738,24,2,3,421,1,0
24.8,738,24,4,4,420.5,1,0
24.8,737,24,3,3,421,1,0
24.8,737,24,4,4,419,1,0
24.8,737,24,3,3,420.67,1,0
24.8,737,25,4,4,419.5,1,0
24.8,737,25,4,4,420.67,1,0
24.8,738,26,4,4,421,1,0
24.8,738,26,4,5,428,1,0
24.8,738,27,5,6,435,1,1
24.8,738,29,5,6,438,1,0
24.8,738,29,7,7,439.5,1,0
24.8,737,29,6,6,441.33,1,0
24.8,737,28,5,6,441,1,0
24.8,738,27,4,5,438,1,0
24.8,738,27,4,4,436,1,0
24.9,738,26,3,3,434.33,1,0
24.9,738,26,3,4,436.5,1,0
24.9,739,26,3,3,437,1,0
24.9,738,26,2,3,436.5,1,0
24.9,738,26,3,3,437,1,0
25,738,26,2,3,437,1,0
25,738,25,2,3,438,1,0
25,738,25,2,2,439.33,1,0
25,738,25,2,2,440.5,1,0
25,738,25,2,2,440.33,1,0
25,738,25,2,2,441.5,1,0
25,738,25,2,2,442.33,1,0
25,738,25,2,2,442.5,1,0
25,738,24,2,2,444.33,1,0
25,738,24,2,2,443,1,0
25,738,24,2,2,443,1,0
25,738,24,2,2,442,1,0
25,738,24,2,2,442.67,1,0
25,738,24,2,2,440,1,0
25,738,24,2,2,440.33,1,0
25,738,24,2,2,442,1,0
25.1,738,24,1,2,440,1,0
25.1,738,24,2,2,438.5,1,0
25,738,24,1,1,439.67,1,0
25.1,738,23,2,2,440.5,1,0
25.1,738,23,2,2,437,1,0
25.1,738,23,2,2,437,1,0
25.1,738,23,1,2,436.67,1,0
25.1,738,23,2,2,437.5,1,0
25.1,738,23,2,2,435.67,1,0
25.1,738,23,2,2,435,1,0
25.1,738,23,2,2,436.33,1,0
25.1,738,23,2,2,434,1,0
25.1,738,23,2,2,434,1,0
25.1,738,23,2,2,433,1,0
25.1,738,23,2,2,431.67,1,0
25.1,738,23,2,2,432,1,0
25.1,738,23,2,2,432,1,0
25.1,738,23,2,2,431.5,1,0
25.1,737,23,1,1,431.33,1,0
25.1,737,23,2,2,430.5,1,0
25.2,737,23,2,2,430,1,0
25.2,737,23,1,1,429,1,0
25.2,737,22,2,2,429.5,1,0
25.2,737,22,2,2,431.67,1,0
25.2,737,22,2,2,426,1,0
25.2,737,22,1,2,428.33,1,0
25.2,737,22,2,2,428.5,1,0
25.2,737,22,2,2,428.67,1,0
25.2,737,22,2,2,428.5,1,0
25.2,737,22,1,1,429.67,1,0
25.2,737,22,1,2,428,1,0
25.2,737,22,1,2,427,1,0
25.2,737,22,2,2,426.5,1,0
25.2,737,22,1,1,427,1,0
25.2,737,22,2,2,428.5,1,0
25.2,737,22,2,2,428,1,0
25.2,737,22,4,4,427,1,0
25.2,737,22,2,2,425.33,1,0
25.2,737,22,2,2,425,1,0
25.2,737,22,1,1,424.67,1,0
25.2,737,22,2,2,425,1,0
25.2,737,22,1,1,425.67,1,0
25.2,737,22,2,2,424.5,1,0
25.2,737,22,1,1,425,1,0
25.2,737,22,2,2,426.5,1,0
25.1,737,22,2,2,423.33,1,0
25.2,737,22,1,1,427.5,1,0
25.2,737,22,1,1,426,1,0
25.2,737,22,2,2,422,1,0
25.2,737,22,2,2,425.33,1,0
25.2,737,22,2,2,425.5,1,0
25.2,737,22,2,2,426.33,1,0
25.2,737,22,2,2,423.5,1,0
25.2,737,22,2,2,425,1,0
25.2,737,22,2,2,423.5,1,0
25.2,737,22,2,2,424.5,1,0
25.2,737,22,2,2,424.33,1,0
25.2,737,22,2,2,423,1,0
25.3,737,22,2,2,424,1,0
25.2,737,22,2,2,425.5,1,0
25.3,737,22,1,1,424.33,1,0
25.3,737,22,1,2,424,1,0
25.3,737,21,2,2,425.67,1,0
25.3,737,22,1,1,426,1,0
25.3,737,22,2,2,424.67,1,0
25.3,738,22,1,1,426,1,0
25.2,738,21,1,2,426.67,1,0
25.2,738,22,1,1,425.5,1,0
25.3,737,21,1,1,423,1,0
25.3,737,21,2,2,423.5,1,0
25.3,737,21,1,1,423.67,1,0
25.3,737,22,1,1,422.5,1,0
25.2,737,22,1,1,424.33,1,0
25.2,737,22,2,3,423.5,1,0
25.2,737,22,3,3,422.33,1,0
25.2,737,22,2,2,424.5,1,0
25.3,737,22,3,3,424,1,0
25.2,737,22,3,4,425.5,1,0
25.2,737,22,3,3,424.33,1,0
